district_code,district_name,state_code,state_name,complex_code,court_name,est_code,cino,case_no,fil_no,fil_year,reg_no,reg_year,type_name,date_of_decision,date_of_filing,dt_regis,disp_name,disp_nature
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010010502016,200300006842016,684,2016,684,2016,Bail 438,2016-09-05,2016-08-17,2016-08-17,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010003412016,200300002392016,0,0   ,239,2016,Bail 438,2016-04-25,2016-04-08,2016-04-12,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010013442018,209400000612018,99961,2018,61,2018,Spl. POCSO Act.,2018-10-30,2018-09-05,2018-09-05,TRANSFERED,1
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010009772015,200300007082015,0,0   ,708,2015,Bail 438,2015-09-18,2015-08-24,2015-08-24,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010004082019,209400000422019,99942,2019,42,2019,Spl. POCSO Act.,2019-07-05,2019-03-08,2019-03-08,TRANSFERED,1
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010009122019,206800004912019,491,2019,491,2019,Bail 439,2019-06-03,2019-05-21,2019-05-21,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010004952016,200300003512016,351,2016,351,2016,Bail 438,2016-06-16,2016-05-18,2016-05-18,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010009942015,200300007222015,0,0   ,722,2015,Bail 438,2015-09-08,2015-08-26,2015-08-26,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010009502019,200300005162019,516,2019,516,2019,Bail 438,2019-06-10,2019-05-24,2019-05-24,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010007982017,200300005302017,9530,2017,530,2017,Bail 438,2017-07-13,2017-07-03,2017-07-03,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010002632020,200300001462020,146,2020,146,2020,Bail 438,2020-02-19,2020-02-18,2020-02-18,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010011892015,200300008702015,0,0   ,870,2015,Bail 438,2015-10-12,2015-09-30,2015-09-30,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010012882015,200300009482015,0,0   ,948,2015,Bail 438,2015-10-30,2015-10-15,2015-10-15,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010005172014,206800003122014,0,0   ,312,2014,Bail 439,2014-05-15,2014-05-07,2014-05-07,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010012092016,206800007822016,782,2016,782,2016,Bail 439,2016-10-01,2016-09-21,2016-09-21,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010000962015,200300000762015,0,0   ,76,2015,Bail 438,2015-02-19,2015-02-12,2015-02-12,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010003702019,200300001862019,186,2019,186,2019,Bail 438,2019-03-12,2019-02-28,2019-02-28,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010001322018,209400000052018,995,2018,5,2018,Spl. POCSO Act.,2019-05-22,2018-02-03,2018-02-03,Convert,74
20,Barpeta,6,Assam,1,Sub-Divisional Judicial Magistrate (M),ASBR06,ASBR060002262019,208800000742019,74,2019,74,2019,PRC (Police Report Case),2019-07-05,2016-12-14,2016-12-14,TRANSFERED,1
20,Barpeta,6,Assam,1,Addl. District & Sessions Judge,ASBR08,ASBR080001342018,200300000672018,67,2018,67,2018,Bail 438,2018-06-15,2018-05-22,2018-05-22,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010016682019,200300008752019,875,2019,875,2019,Bail 438,2019-09-09,2019-09-07,2019-09-07,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010016872016,200300011382016,1138,2016,1138,2016,Bail 438,2017-01-11,2016-12-29,2016-12-29,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010003262015,200300002182015,0,0   ,218,2015,Bail 438,2015-04-18,2015-04-04,2015-04-04,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010005702016,209400000142016,14,2016,14,2016,Spl. POCSO Act.,2018-01-06,2016-05-03,2016-05-03,"Transfer to District and Sessions Judge, Baksa for Disposal",78
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010007712019,200300004192019,419,2019,419,2019,Bail 438,2019-05-17,2019-05-03,2019-05-03,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010004902016,200300003482016,348,2016,348,2016,Bail 438,2016-05-31,2016-05-17,2016-05-17,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010001782016,200300001282016,0,0   ,128,2016,Bail 438,2016-03-08,2016-02-24,2016-02-24,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010004102019,209400000402019,99940,2019,40,2019,Spl. POCSO Act.,2019-04-20,2019-03-08,2019-03-08,Disposed,61
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010012742018,209100000232018,99923,2018,23,2018,Criminal Misc(j),2018-09-28,2018-08-27,2018-08-27,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010007372015,202500002052015,207,2015,205,2015,Sessions Case,2015-07-20,2015-07-20,2015-07-20,"Sent to Addl. Dist. and Sessions Judge Court, Bajali for Disposal",68
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010009002016,200300005992016,599,2016,599,2016,Bail 438,2016-08-12,2016-07-26,2016-07-26,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010004172020,206800002332020,233,2020,233,2020,Bail 439,2020-04-08,2020-03-18,2020-03-18,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010008672018,209400000242018,9924,2018,24,2018,Spl. POCSO Act.,2018-08-16,2018-06-25,2018-06-25,TRANSFERED,1
20,Barpeta,6,Assam,1,Sub-Divisional Judicial Magistrate (M),ASBR06,ASBR060004342015,202300010562015,1056,2015,1056,2015,G R Case,2017-12-06,2015-10-19,2015-10-19,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010007452015,200300005522015,0,0   ,552,2015,Bail 438,2015-07-31,2015-07-20,2015-07-20,Rejected,17
