updated_disp_name,disp_nature,state_name,district_name,total_cases
Disposed of with directions,36,Haryana,Yamunanagar,1
NA,0,Haryana,Palwal,112
Convicted - Probation,43,Delhi,North,1
Remand back,9,Delhi,West,1
Remand back,22,Assam,Sonitpur,5
Disposed,8,Delhi,North West,8
NA,0,Assam,Bongaigaon,47
Abated,5,Delhi,North East,4
Acquitted,1,Delhi,Shahdara,34
Convicted,11,Assam,Nagaon,11
Abated,13,Assam,Dibrugarh,1
Stayed,32,Assam,Karbi Anglong,1
Discharged,3,Delhi,North East,1
Cancelled,53,Delhi,South,2
Transferred,1,Assam,Kokrajhar,4
Cancelled,53,Delhi,North West,4
Acquitted,10,Assam,Lakhimpur,31
Acquitted,10,Assam,Morigaon,69
Dismissed,34,Assam,Morigaon,2
Convicted,11,Assam,Kamrup Metro,9
Acquitted,1,Delhi,Central,185
Acquitted,10,Assam,Dibrugarh,76
Cancelled,53,Delhi,Shahdara,9
Discharged,3,Delhi,South,1
Quashed,47,Haryana,Faridabad,4
Discharged,23,Haryana,Panipat,1
Transferred,1,Assam,Barpeta,13
Quashed,17,Delhi,Shahdara,3
Transferred,73,Haryana,Rohtak,1
Disposed of with directions,36,Haryana,Kurukshetra,3
Judgement delivered,35,Assam,Kokrajhar,1
Disposed of with directions,36,Haryana,Rohtak,3
NA,0,Delhi,Central,592
Discharged,23,Haryana,Panchkula,1
Convicted,11,Assam,Sivasagar,26
Case is filed,21,Assam,Udalguri,2
Discharged,3,Delhi,Shahdara,2
Transferred - JJB,50,Assam,Morigaon,3
Convicted,11,Assam,Golaghat,16
Acquitted,25,Haryana,Fatehabad,146
Convicted - Undergone,34,Delhi,South West,1
Convicted,24,Haryana,Rohtak,52
Clubbed in FIR,70,Delhi,Central,3
Convicted - Fined,7,Delhi,South,7
Case is filed,21,Assam,Lakhimpur,2
Transferred,43,Assam,Nalbari,25
Concilliation,9,Assam,Barpeta,1
Discharged,14,Assam,Karbi Anglong,1
Disposed,30,Assam,Barpeta,3
Disposed,41,Haryana,Gurugram,10
Discharged,23,Haryana,Fatehabad,1
Abated,13,Assam,Kokrajhar,1
Transferred - Attached with main case,1008,Haryana,Palwal,2
Disposed,72,Haryana,Jhajjar,3
Transferred,64,Delhi,Shahdara,1
NA,0,Haryana,Faridabad,265
Consigned,49,Haryana,Gurugram,2
Abated,13,Assam,Cachar,2
NA,0,Assam,Darrang,121
NA,0,Delhi,North East,348
Acquitted,25,Haryana,Gurugram,176
Acquitted,10,Assam,Goalpara,14
Abated,29,Haryana,Ambala,2
Consigned,38,Haryana,Sonepat,1
Convicted,11,Assam,Hailakandi,4
Disposed,8,Delhi,North East,1
Dismissed,6,Delhi,West,1
Cancelled,53,Delhi,New Delhi,1
Disposed,30,Assam,Nagaon,1
Convicted - Fined,7,Delhi,East,3
Untraced,46,Delhi,East,1
Convicted - Plead Guilty,24,Delhi,South West,3
