cino,date_of_decision,dt_regis,reg_year_date,case_age_days,case_age_months,case_age_years
DLSH010009972018,NA,13/02/2018,2014,777,25.9 ,2.13 
DLSH010079622016,NA,22/09/2016,2016,1286,42.9 ,3.52 
DLSH010068302018,NA,10/10/2018,2018,538,17.9 ,1.47 
DLSH010064622019,NA,28/09/2019,2020,185,6.2 ,0.51 
DLSH010042482019,NA,05/07/2019,2020,270,9.0 ,0.74 
DLSH010013312018,07/12/2019,27/02/2018,2018,648,21.6 ,1.78 
DLSH010082672018,NA,11/12/2018,2018,476,15.9 ,1.30 
DLSH010068332018,NA,10/10/2018,2018,538,17.9 ,1.47 
DLSH010042702019,NA,05/07/2019,2018,270,9.0 ,0.74 
DLSH010053752016,NA,04/08/2016,2018,1335,44.5 ,3.66 
DLSH010045402018,NA,09/07/2018,2020,631,21.0 ,1.73 
DLSH010027202019,NA,23/04/2019,2020,343,11.4 ,0.94 
DLSH010054412019,NA,20/08/2019,2017,224,7.5 ,0.61 
DLSH010031172017,NA,30/05/2017,2017,1036,34.5 ,2.84 
DLSH010042492019,NA,05/07/2019,2017,270,9.0 ,0.74 
DLSH010018722017,13/02/2020,21/03/2017,2017,1059,35.3 ,2.90 
DLSH010044242019,NA,12/07/2019,2019,263,8.8 ,0.72 
DLSH010051482019,NA,06/08/2019,2016,238,7.9 ,0.65 
DLSH010083852019,NA,23/12/2019,2019,99,3.3 ,0.27 
DLSH010025272017,NA,18/04/2017,2019,1078,35.9 ,2.95 
DLSH010038192018,NA,05/06/2018,2017,665,22.2 ,1.82 
DLSH010068832019,NA,17/10/2019,2014,166,5.5 ,0.45 
DLSH010079352019,16/12/2019,06/12/2019,2020,10,0.3 ,0.03 
DLSH010052532018,NA,07/08/2018,2019,602,20.1 ,1.65 
DLSH010007082014,02/11/2019,04/03/2014,2016,2069,69.0 ,5.67 
DLSH010055022017,NA,26/08/2017,2019,948,31.6 ,2.60 
DLSH010044712018,NA,07/07/2018,2019,633,21.1 ,1.73 
DLSH010031992019,NA,13/05/2019,2018,323,10.8 ,0.88 
DLSH010007412020,NA,24/01/2020,2020,67,2.2 ,0.18 
DLSH010046722016,NA,09/07/2016,2019,1361,45.4 ,3.73 
DLSH010058602017,NA,08/09/2017,2019,935,31.2 ,2.56 
DLSH010079882019,NA,09/12/2019,2019,113,3.8 ,0.31 
DLSH010012622019,NA,22/02/2019,2020,403,13.4 ,1.10 
DLSH010043962019,NA,11/07/2019,2020,264,8.8 ,0.72 
DLSH010083282019,NA,21/12/2019,2019,101,3.4 ,0.28 
DLSH010058942016,NA,26/08/2016,2015,1313,43.8 ,3.60 
DLSH010019472019,NA,25/03/2019,2019,372,12.4 ,1.02 
DLSH010050762016,NA,23/07/2016,2019,1347,44.9 ,3.69 
DLSH010017652019,21/09/2019,16/03/2019,2020,189,6.3 ,0.52 
DLSH010051942018,NA,06/08/2018,2020,603,20.1 ,1.65 
DLSH010073232019,NA,14/11/2019,2020,138,4.6 ,0.38 
DLSH010028512017,NA,29/04/2017,2020,1067,35.6 ,2.92 
DLSH010044692017,NA,13/07/2017,2020,992,33.1 ,2.72 
DLSH010014112018,NA,05/03/2018,2018,757,25.2 ,2.07 
DLSH010069192019,18/10/2019,18/10/2019,2018,0,0.0 ,0.00 
DLSH010079472019,NA,06/12/2019,2018,116,3.9 ,0.32 
DLSH010056922018,23/08/2019,27/08/2018,2020,361,12.0 ,0.99 
DLSH010063782017,NA,06/10/2017,2020,907,30.2 ,2.48 
DLSH010067332019,NA,11/10/2019,2019,172,5.7 ,0.47 
DLSH010023882019,20/07/2019,10/04/2019,2016,101,3.4 ,0.28 
DLSH010074792017,NA,24/11/2017,2016,858,28.6 ,2.35 
DLSH010050562016,NA,23/07/2016,2019,1347,44.9 ,3.69 
DLSH010046112016,NA,19/08/2016,2019,1320,44.0 ,3.62 
DLSH010027342017,NA,25/04/2017,2019,1071,35.7 ,2.93 
DLSH010051202019,NA,05/08/2019,2019,239,8.0 ,0.65 
DLSH010007532017,NA,02/02/2017,2019,1153,38.4 ,3.16 
DLSH010003202018,NA,24/01/2018,2019,797,26.6 ,2.18 
DLSH010020742019,NA,28/03/2019,2019,369,12.3 ,1.01 
DLSH010061592018,NA,14/09/2018,2019,564,18.8 ,1.55 
DLSH010001572019,NA,08/01/2019,2019,448,14.9 ,1.23 
DLSH010074072019,NA,19/11/2019,2019,133,4.4 ,0.36 
DLSH010034712019,12/07/2019,25/05/2019,2019,48,1.6 ,0.13 
DLSH010069772018,NA,16/10/2018,2016,532,17.7 ,1.46 
DLSH010068842019,28/01/2020,17/10/2019,2016,103,3.4 ,0.28 
DLSH010020752019,NA,28/03/2019,2019,369,12.3 ,1.01 
DLSH010030132018,NA,03/05/2018,2018,698,23.3 ,1.91 
DLSH010066412019,NA,04/10/2019,2018,179,6.0 ,0.49 
DLSH010050632018,NA,31/07/2018,2018,609,20.3 ,1.67 
DLSH010000922019,NA,05/01/2019,2018,451,15.0 ,1.24 
DLSH010012052015,NA,04/11/2015,2018,1609,53.6 ,4.41 
DLSH010005522018,NA,23/01/2018,2019,798,26.6 ,2.19 
DLSH010017462018,NA,19/03/2018,2018,743,24.8 ,2.04 
DLSH010042442019,NA,05/07/2019,2018,270,9.0 ,0.74 
DLSH010073432017,NA,21/11/2017,2015,861,28.7 ,2.36 
DLSH010004732015,NA,20/07/2015,2018,1716,57.2 ,4.70 
DLSH010004892014,NA,18/11/2014,2016,1960,65.3 ,5.37 
DLSH010004472014,04/12/2019,09/09/2014,2016,1912,63.7 ,5.24 
DLSH010041982018,NA,23/06/2018,2016,647,21.6 ,1.77 
DLSH010053442019,NA,16/08/2019,2015,228,7.6 ,0.62 
DLSH010047742019,NA,24/07/2019,2015,251,8.4 ,0.69 
DLSH010045652017,NA,17/07/2017,2015,988,32.9 ,2.71 
DLSH010000752019,06/11/2019,05/01/2019,2019,305,10.2 ,0.84 
DLSH010041522017,NA,09/06/2017,2017,1026,34.2 ,2.81 
DLSH010030552017,NA,09/05/2017,2020,1057,35.2 ,2.90 
DLSH010072792018,NA,30/10/2018,2017,518,17.3 ,1.42 
DLSH010058152018,NA,30/08/2018,2017,579,19.3 ,1.59 
DLSH010047852017,NA,27/07/2017,2017,978,32.6 ,2.68 
DLSH010016462018,NA,15/03/2018,2017,747,24.9 ,2.05 
DLSH010078792019,NA,05/12/2019,2018,117,3.9 ,0.32 
DLSH010043682018,NA,04/07/2018,2018,636,21.2 ,1.74 
DLSH010052832019,NA,13/08/2019,2018,231,7.7 ,0.63 
DLSH010050582017,NA,08/08/2017,2018,966,32.2 ,2.65 
DLSH010017852015,NA,06/07/2015,2018,1730,57.7 ,4.74 
DLSH010033752017,NA,26/05/2017,2018,1040,34.7 ,2.85 
DLSH010077882018,NA,24/11/2018,2018,493,16.4 ,1.35 
DLSH010063582018,NA,22/09/2018,2018,556,18.5 ,1.52 
DLSH010055712019,NA,26/08/2019,2018,218,7.3 ,0.60 
DLSH010043962018,NA,05/07/2018,2018,635,21.2 ,1.74 
DLSH010009992018,NA,13/02/2018,2018,777,25.9 ,2.13 
DLSH010052722018,NA,08/08/2018,2018,601,20.0 ,1.65 
DLSH010007302019,NA,31/01/2019,2017,425,14.2 ,1.16 
DLSH010006262014,21/10/2019,16/01/2014,2018,2104,70.1 ,5.76 
DLSH010084802018,02/07/2019,18/12/2018,2018,196,6.5 ,0.54 
DLSH010009422018,NA,12/02/2018,2019,778,25.9 ,2.13 
DLSH010056632018,NA,25/08/2018,2019,584,19.5 ,1.60 
DLSH010040582018,NA,02/07/2018,2019,638,21.3 ,1.75 
DLSH010021852019,NA,02/04/2019,2019,364,12.1 ,1.00 
DLSH010017662015,30/09/2019,22/01/2015,2018,1712,57.1 ,4.69 
DLSH010053442016,NA,03/08/2016,2019,1336,44.5 ,3.66 
DLSH010005262015,NA,10/07/2015,2015,1726,57.5 ,4.73 
DLSH010001582016,NA,04/01/2016,2018,1548,51.6 ,4.24 
DLSH010009842020,NA,30/01/2020,2019,61,2.0 ,0.17 
DLSH010039502018,NA,07/06/2018,2017,663,22.1 ,1.82 
DLSH010052632019,06/02/2020,09/08/2019,2017,181,6.0 ,0.50 
DLSH010067202017,NA,20/11/2017,2019,862,28.7 ,2.36 
DLSH010028012016,NA,21/04/2016,2019,1440,48.0 ,3.95 
DLSH010078472019,NA,03/12/2019,2017,119,4.0 ,0.33 
DLSH010013702016,NA,23/02/2016,2018,1498,49.9 ,4.10 
DLSH010047452019,NA,24/07/2019,2018,251,8.4 ,0.69 
DLSH010066862016,19/12/2019,03/10/2016,2018,1172,39.1 ,3.21 
DLSH010052562016,NA,30/07/2016,2018,1340,44.7 ,3.67 
DLSH010003822019,28/05/2019,16/01/2019,2018,132,4.4 ,0.36 
DLSH010003852019,NA,16/01/2019,2018,440,14.7 ,1.21 
DLSH010026762016,NA,18/04/2016,2019,1443,48.1 ,3.95 
DLSH010002052019,NA,09/01/2019,2018,447,14.9 ,1.22 
DLSH010008352019,NA,05/02/2019,2018,420,14.0 ,1.15 
DLSH010026312019,NA,18/04/2019,2018,348,11.6 ,0.95 
DLSH010003962018,NA,22/01/2018,2018,799,26.6 ,2.19 
DLSH010064142017,NA,07/10/2017,2016,906,30.2 ,2.48 
DLSH010061842019,NA,19/09/2019,2013,194,6.5 ,0.53 
DLSH010064612019,NA,28/09/2019,2019,185,6.2 ,0.51 
DLSH010047082018,18/07/2018,17/07/2018,2018,1,0.0 ,0.00 
DLSH010077072019,NA,27/11/2019,2018,125,4.2 ,0.34 
DLSH010006222015,NA,22/05/2015,2018,1775,59.2 ,4.86 
DLSH010059172017,NA,13/09/2017,2018,930,31.0 ,2.55 
DLSH010047482019,NA,24/07/2019,2017,251,8.4 ,0.69 
DLSH010075212017,NA,27/11/2017,2018,855,28.5 ,2.34 
