state_name,district_name,court_name,est_code,updated_type_name,updated_disp_name,disp_nature,fil_year,reg_year_date,decision_year,age_interval,total_cases
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,0   ,2015,2017,two to three years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2015,2015,2015,three to six months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2016,2014,2018,four to five years,2
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2016,2016,2016,one to three months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2016,2016,2016,six months to one year,3
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2016,2016,2017,one to two years,5
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2016,2016,2017,six months to one year,5
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2016,2016,2017,three to six months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2016,2016,2018,one to two years,4
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2016,2016,2018,two to three years,3
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2016,2016,2019,two to three years,3
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2016,2017,2017,three to six months,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2016,2017,2018,one to two years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2017,2017,2017,six months to one year,2
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2017,2017,2017,three to six months,2
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2017,2017,2018,one to two years,12
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2017,2017,2018,six months to one year,12
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2017,2017,2019,one to two years,5
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2017,2017,2019,two to three years,2
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2017,2017,2020,two to three years,1
