state_name,district_name,est_code,court_name,reg_year,fil_year,decision_year,act_name_std,section_name_std,total_cases
Haryana,Kurukshetra,HRKU01,"District  and Sessions Courts, Kurukshetra",2019,2019,NA,IPC,366,3
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2018,2018,NA,IPC,376,29
Assam,Sonitpur,ASSN07,Addl District and Sessions Judge,2018,2018,2019,IPC,363,3
Haryana,Ambala,HRAM01,"District and Sessions Court, Ambala",2016,2016,2017,IPC,376,1
Haryana,Kurukshetra,HRKU01,"District  and Sessions Courts, Kurukshetra",2016,2016,2017,IPC,506,5
Haryana,Fatehabad,HRFT03,"Criminal Courts, Fatehabad",2017,2017,2017,POCSO,17,1
Haryana,Yamunanagar,HRYN01,"District and Sessions Courts, Yamunanagar",2018,2018,2018,POCSO,8,1
Haryana,Panchkula,HRPK01,"DISTRICT AND  SESSIONS COURTS, PANCHKULA",2017,2017,2017,POCSO,12,5
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2016,2016,2016,IPC,377,4
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2017,2017,2018,IPC,452,3
Haryana,Narnaul,HRNR03,"Criminal Courts, Narnaul",2017,2017,2017,IPC,34 A,1
Delhi,Shahdara,DLSH01,"District and Sessions Judge, Shahdara, KKD",2016,2014,2020,IPC,294,1
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2016,2016,2016,POCSO,12,28
Haryana,Kaithal,HRKH03,"Criminal Courts, Kaithal",2018,2018,2019,IPC,363,1
Haryana,Sonepat,HRSO03,"Criminal Courts, Sonipat",2016,2016,2016,IPC,363,2
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2015,2015,2016,IPC,506,3
Haryana,Sonepat,HRSO03,"Criminal Courts, Sonipat",2020,2020,NA,IPC,354 A,1
Haryana,Panchkula,HRPK01,"DISTRICT AND  SESSIONS COURTS, PANCHKULA",2019,2019,NA,POCSO,4,2
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2016,2016,2019,IPC,376,1
Haryana,Rewari,HRRE01,"District and Sessions Courts, Rewari",2019,2019,2019,IPC,34 A,16
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2019,2019,2019,IPC,325,1
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2013,2013,2015,IPC,376,1
