act_id,act_name,section_name,act_issue_flag
809,"SC/ST Amendment Act, 2015",3(1)(r)/3(1)(s),0
810,"SC/ST Amendment Act, 2015",3(2)(va),0
811,POCSO Act,8,0
812,I.P.C.,366 A,0
815,POCSO Act,8,0
816,I.P.C.,376 A,0
817,I.P.C.,276 B,0
820,POCSO Act,6,0
821,POCSO Act,8,0
822,I.P.C.,354,0
823,POCSO Act,12,0
824,ITPA,3,0
825,ITPA,4,0
826,ITPA,5,0
827,ITPA,6,0
829,I.P.C. & POCSO Act,366; 6,0
832,POCSO Act,12,0
833,I.P.C.,506,0
834,Information Technology Act,67 A,0
835,POCSO Act,8,0
836,I.P.C.,370(1),0
837,"SC/ST Amendment Act, 2015",3(w)(i),0
844,I.P.C.,8,0
845,I.P.C.,376,0
846,POCSO Act,4,0
847,POCSO Act,10,0
850,POCSO Act,12,0
851,I.P.C.,376(3),0
870,I.P.C.,377,0
871,I.P.C.,A,1
875,POCSO Act,10,0
876,POCSO Act,6,0
877,POCSO Act,8,0
878,POCSO Act,12,0
879,POCSO Act,4,0
881,I.P.C.,397,0
882,POCSO Act,18,0
883,POCSO Act,4,0
884,POCSO Act,4,0
885,I.P.C.,34,0
886,POCSO Act,6,0
887,I.P.C.,450,0
888,SC/ST Act ,33,1
889,SC/ST Act ,89,1
890,I.P.C.,342,0
891,POCSO Act,14,0
892,I.P.C.,341,0
893,I.P.C.,509,0
896,SC/ST Act ,33,1
897,SC/ST Act ,89,1
899,I.P.C.,328,0
900,I.P.C.,354 A,0
903,I.P.C.,377,0
904,I.P.C.,366,0
905,I.P.C.,348,0
907,POCSO Act,17,0
908,I.P.C.,279,0
909,I.P.C.,337,0
910,I.P.C.,376 A,0
911,"SC/ST Act, 1989",3(1)(xii),0
912,POCSO Act,4,0
913,I.P.C.,354,0
915,I.P.C.,376 D,0
917,POCSO Act,3,0
920,I.P.C.,D,1
921,POCSO Act,---,1
923,I.P.C.,363,0
924,I.P.C.,366 A,0
926,I.P.C.,338,0
927,POCSO Act,6,0
931,I.P.C.,384,0
932,POCSO Act,20,0
933,POCSO Act,2,0
935,I.P.C.,365,0
936,SC/ST Act ,3,1
937,I.P.C.,346,0
938,SC/ST Act ,3,1
939,I.P.C.,420,0
941,I.P.C.,471,0
942,I.P.C.,376(2)(f),0
948,I.P.C.,120 B,0
951,POCSO Act,8,0
952,I.P.C.,195 A,0
953,I.P.C.,201,0
956,I.P.C.,376 C,0
958,I.P.C.,304,0
959,Motor Vehicles Act,39,0
960,"JJ Act, 2015",79,0
961,I.P.C.,147,0
963,I.P.C.,149,0
965,I.P.C.,120 B,0
967,I.P.C.,366,0
968,I.P.C.,451,0
970,I.P.C.,8,0
971,I.P.C.,18,0
972,SC/ST Act ,13,1
973,I.P.C.,356,0
974,I.P.C.,376(2)(n),0
978,Information Technology Act,66 E,0
985,I.P.C.,349,0
989,I.P.C.,351,0
990,POCSO Act,5,0
992,I.P.C.,506,0
993,I.P.C.,B,1
995,I.P.C.,63,1
996,I.P.C.,217,0
997,I.P.C.,376,0
998,I.P.C.,343,0
999,I.P.C.,211,0
1000,I.P.C. & POCSO Act,34; 4,0
1006,I.P.C.,344,0
1007,I.P.C.,546,0
1008,POCSO Act,10,0
1014,"SC/ST Act, 1989",3(1)(xii),0
1015,SC/ST Act ,69,1
1024,"SC/ST Act, 1989",3(1)(xii),0
1027,POCSO Act,4,0
1028,POCSO Act,13,0
1030,I.P.C.,317,0
1032,I.P.C.,364 A,0
1033,I.P.C.,465,0
1036,I.P.C.,376 AB,0
1043,POCSO Act,6,0
1044,I.P.C.,636,0
1045,Bonded Labour System (Abolition) Act,16,0
1046,Bonded Labour System (Abolition) Act,17,0
1047,Bonded Labour System (Abolition) Act,18,0
1048,SC/ST Act ,3,1
1052,I.P.C.,188,0
1053,POCSO Act,4,0
1054,I.P.C.,363 D,0
1055,I.P.C.,511,0
1059,POCSO Act,16,0
1060,POCSO Act,16,0
1061,I.P.C.,276,0
1063,I.P.C.,6,0
1064,POCSO Act,6(3),1
1065,Motor Vehicles Act,3,0
1067,POCSO Act,6/10/12/18,0
1068,I.P.C.,(i),1
1071,SC/ST Act ,3,1
1072,I.P.C.,(I),1
1073,I.P.C.,263,0
1074,I.P.C.,500,0
1075,I.P.C.,6,0
1076,I.P.C.,376 C,0
1080,POCSO Act,4,0
1084,I.P.C.,485,0
1090,I.P.C.,311,0
1094,POCSO Act,10,0
1096,POCSO Act,12,0
1097,POCSO Act,6,0
1098,POCSO Act,18,0
1099,POCSO Act,8,0
1100,I.P.C.,376(1),0
1102,POCSO Act,4,0
1103,I.P.C.,376(2)(I),0
1104,POCSO Act,3,0
1106,POCSO Act,---,1
1108,I.P.C.,376 AB,0
1111,I.P.C.,376,0
1112,POCSO Act,17,0
1113,I.P.C.,314,0
1114,I.P.C.,376 E,0
1115,POCSO Act,7,0
1117,I.P.C.,370(5),0
1118,POCSO Act,9,0
1119,POCSO Act,10(i),0
1128,I.P.C.,354,0
1129,I.P.C.,354 A,0
1134,I.P.C.,12,0
1137,I.P.C.,376(2)(n),0
1138,I.P.C.,379 B,0
1139,I.P.C.,327,0
1142,I.P.C.,376 B,0
1148,I.P.C.,376(2)(1),0
1149,I.P.C.,354 A(2),0
1150,I.P.C.,376 F,0
1151,POCSO Act,21,0
1152,I.P.C.,376 F,0
1153,I.P.C.,309,0
1154,I.P.C.,376(2)(g),0
1156,I.P.C.,354 A (1),0
1157,I.P.C.,1,1
1159,I.P.C.,354(1),0
1160,"SC/ST Amendment Act, 2015",3(1)(i),0
1161,I.P.C.,382,0
1162,I.P.C.,411,0
1163,I.P.C.,354 C,0
1164,I.P.C.,204,0
1169,PCMA,9/10,0
1170,POCSO Act,451,0
1171,I.P.C.,506,0
1174,I.P.C.,376(2)(f),0
1176,POCSO Act,32,0
1177,POCSO Act,5,0
1178,I.P.C.,374,0
1179,"SC/ST Amendment Act, 2015",3(1)(w)/3(2)(v),0
1185,I.P.C.,376(2)(n),0
1192,I.P.C.,376(1),0
1200,I.P.C.,458,0
1207,"SC/ST Amendment Act, 2015",3(1)(I),0
1208,"SC/ST Act, 1989",3(2)(iv),0
1210,Information Technology Act,67 A,0
1212,I.P.C.,370(5)/376(2)(n),0
1213,"SC/ST Act, 1989",3(2)(v),0
1214,I.P.C.,376 A(3),0
1215,I.P.C.,376(2)(n),0
1219,I.P.C.,376(2)(i),0
1223,I.P.C.,436,0
1225,I.P.C.,186,0
1227,"SC/ST Amendment Act, 2015",3(1)(w)(i),0
1228,I.P.C.,376 C,0
1229,I.P.C.,376(1),0
1232,I.P.C.,34/363/366 A,0
1236,"SC/ST Amendment Act, 2015",3(1)(w)(ii),0
1238,POCSO Act,452,0
1242,I.P.C.,376(2)(i),0
1262,I.P.C.,376(2),0
1263,I.P.C.,n),1
1264,I.P.C.,376(2)(f),0
1265,I.P.C.,354 A(1),0
1269,I.P.C.,450,0
1270,I.P.C.,376(1),0
1272,I.P.C.,354 D(1)(i),0
1274,I.P.C.,376(2)(n),0
1275,I.P.C.,376(2)(n),0
1276,PCMA,9,0
1277,PCMA,11,0
1278,I.P.C.,343,0
1279,I.P.C.,I,1
1282,I.P.C.,N),1
1284,I.P.C.,376(2)(i),0
1285,PCMA,9,0
1287,"SC/ST Act, 1989",3(2)(vii),0
1288,I.P.C.,354 A,0
1289,I.P.C.,1,1
1290,I.P.C.,i),1
1292,I.P.C.,312,0
1293,I.P.C.,354(1)(i),0
1296,I.P.C.,216,0
1298,I.P.C.,354 D(1)(i),0
1301,I.P.C.,354 D,0
1303,I.P.C.,376(2)(n)/376(3),0
1304,I.P.C.,376(3)(i),0
1305,SC/ST Act ,3(1),1
1308,I.P.C.,354 A(1)(ii),0
1309,I.P.C.,354 A(iv),0
1317,"JJ Act, 2015",82,0
1318,"SC/ST Amendment Act, 2015",3(1)(w)(i),0
1319,I.P.C.,376(2)(f),0
1320,I.P.C.,j),1
1321,I.P.C.,376(2)(f),0
1325,I.P.C.,354 A(2),0
1328,I.P.C.,376(2),0
1330,I.P.C.,-1,1
1332,"SC/ST Amendment Act, 2015",3(1)(w)(i),0
1334,I.P.C.,372,0
1336,I.P.C.,376(1)/363/366 A,0
1350,I.P.C.,392,0
1352,I.P.C.,354 B,0
1353,I.P.C.,f),1
1355,I.P.C.,376 D,0
1356,I.P.C.,A),1
1358,"SC/ST Act, 1989",3(2)(v),0
1361,I.P.C.,354 A(1)(i),0
1364,I.P.C.,376 A(1),0
1366,I.P.C.,376(2)(1)(3),0
1370,"SC/ST Act, 1989",3(2)(i),0
1371,I.P.C.,354 D(ii),0
1376,SC/ST Act ,W,1
1377,SC/ST Act ,i,1
1378,SC/ST Act ,ii),1
1384,I.P.C.,f,1
1385,I.P.C.,1),1
1386,I.P.C.,376(i),0
1387,I.P.C.,354(1),0
1388,I.P.C.,ii),1
1402,I.P.C.,376(1)A,1
1409,I.P.C.,354 D(1),0
1414,I.P.C.,354(I)(ii),1
1415,I.P.C.,376(2)(a),0
1425,I.P.C.,313,0
1427,SC/ST Act ,xii),1
1428,I.P.C.,376(2)(n),0
1430,I.P.C.,376(2)/376(3),0
1432,I.P.C.,376(11)(N),1
1434,I.P.C.,354 A(3),0
1435,"SC/ST Amendment Act, 2015",3(1)(x),0
1436,I.P.C.,376(2)(n),0
1437,I.P.C.,376(3),0
1454,I.P.C.,376(2)(n),0
1458,I.P.C.,354 A(1),0
1459,I.P.C.,212,0
1463,Information Technology Act,67 B,0
1464,I.P.C.,354 A(2),0
1465,SC/ST Act ,xi),1
1466,SC/ST Act ,3,1
1467,I.P.C.,376(1)(N),0
1469,I.P.C.,354 D(I),0
1470,I.P.C.,376(2)(k),0
1475,I.P.C.,354 A(1)(iv),0
1476,I.P.C.,354 A(2),0
1482,I.P.C.,376(1)(i),0
1487,I.P.C.,354 A (1),0
1491,I.P.C.,354 A(1)(c),0
1492,I.P.C.,195A,0
1494,I.P.C.,459,0
1495,I.P.C.,460,0
1496,I.P.C.,371,0
